arch,condition,seed,best
GMM-BC,jerk,0,0.28
GMM-BC,jerk,1,0.34
GMM-BC,jerk,2,0.3
GMM-BC,jerk,3,0.36
GMM-BC,jerk,4,0.32
GMM-BC,jerk,5,0.38
GMM-BC,jerk,6,0.36
GMM-BC,jerk,7,0.38
GMM-BC,jerk,8,0.26
GMM-BC,jerk,9,0.34
GMM-BC,nocuration,0,0.3
GMM-BC,nocuration,1,0.38
GMM-BC,nocuration,2,0.5
GMM-BC,nocuration,3,0.46
GMM-BC,nocuration,4,0.4
GMM-BC,nocuration,5,0.36
GMM-BC,nocuration,6,0.36
GMM-BC,nocuration,7,0.3
GMM-BC,nocuration,8,0.36
GMM-BC,nocuration,9,0.38
GMM-BC,oracle,0,0.86
GMM-BC,oracle,1,0.84
GMM-BC,oracle,2,0.88
GMM-BC,oracle,3,0.86
GMM-BC,oracle,4,0.9
GMM-BC,oracle,5,0.9
GMM-BC,oracle,6,0.92
GMM-BC,oracle,7,0.92
GMM-BC,oracle,8,0.84
GMM-BC,oracle,9,1.0
GMM-BC,path_len,0,0.34
GMM-BC,path_len,1,0.26
GMM-BC,path_len,2,0.3
GMM-BC,path_len,3,0.28
GMM-BC,path_len,4,0.3
GMM-BC,path_len,5,0.34
GMM-BC,path_len,6,0.36
GMM-BC,path_len,7,0.3
GMM-BC,path_len,8,0.3
GMM-BC,path_len,9,0.32
GMM-BC,random,0,0.38
GMM-BC,random,1,0.44
GMM-BC,random,2,0.34
GMM-BC,random,3,0.34
GMM-BC,random,4,0.46
GMM-BC,random,5,0.3
GMM-BC,random,6,0.32
GMM-BC,random,7,0.3
GMM-BC,random,8,0.42
GMM-BC,random,9,0.3
GMM-BC,sal,0,0.28
GMM-BC,sal,1,0.36
GMM-BC,sal,2,0.38
GMM-BC,sal,3,0.26
GMM-BC,sal,4,0.46
GMM-BC,sal,5,0.36
GMM-BC,sal,6,0.3
GMM-BC,sal,7,0.3
GMM-BC,sal,8,0.34
GMM-BC,sal,9,0.28
GMM-BC,ted,0,0.2
GMM-BC,ted,1,0.16
GMM-BC,ted,2,0.22
GMM-BC,ted,3,0.22
GMM-BC,ted,4,0.28
GMM-BC,ted,5,0.3
GMM-BC,ted,6,0.24
GMM-BC,ted,7,0.22
GMM-BC,ted,8,0.26
GMM-BC,ted,9,0.3
diffusion,jerk,0,0.18
diffusion,jerk,1,0.18
diffusion,jerk,2,0.24
diffusion,jerk,3,0.24
diffusion,jerk,4,0.22
diffusion,nocuration,0,0.12
diffusion,nocuration,1,0.1
diffusion,nocuration,2,0.12
diffusion,nocuration,3,0.12
diffusion,nocuration,4,0.14
diffusion,oracle,0,0.54
diffusion,oracle,1,0.54
diffusion,oracle,2,0.58
diffusion,oracle,3,0.5
diffusion,oracle,4,0.56
diffusion,random,0,0.1
diffusion,random,1,0.12
diffusion,random,2,0.12
diffusion,random,3,0.1
diffusion,random,4,0.14
diffusion,ted,0,0.08
diffusion,ted,1,0.06
diffusion,ted,2,0.08
diffusion,ted,3,0.1
diffusion,ted,4,0.14
